,lat,lon
1386,23.266667,108.4
1387,22.5,110.016667
1388,21.866667,109.2
1389,13.640336,103.176781
1390,13.640048,103.177023
1391,13.640048,103.177023
1392,13.64028,103.177761
1393,13.688814,102.792516
1394,13.688291,102.798704
1395,13.605078,102.960212
1396,13.604782,102.960427
1397,11.897941,104.53792
1398,11.899676,104.559661
1399,11.886005,104.527536
1400,11.868181,104.528017
1401,12.093978,104.695548
1402,12.09442,104.711913
1403,13.605078,102.960212
1404,13.604619,102.960428
1405,13.640336,103.176781
1406,13.640048,103.177023
1407,13.64028,103.177761
1408,13.688291,102.798704
1409,13.688814,102.792516
1410,13.288379,102.740208
1411,13.288927,102.70854
1412,13.036995,103.052196
1413,13.037081,103.052813
1414,12.052275,105.28342
1415,12.052411,105.282933
1416,12.056629,105.218254
1417,12.03359,104.985365
1418,12.028996,104.979017
1419,11.897941,104.538085
1420,11.899676,104.559661
1421,12.489942,106.025337
1422,11.192705,105.367628
1423,11.192705,105.367628
1424,10.772452,103.81017
1425,11.33228,104.315189
1426,11.332299,104.315189
1427,11.346891,104.337414
1428,11.34824,104.338208
1429,11.325706,104.315205
1430,11.346891,104.337414
1431,11.34824,104.338208
1432,11.120048,103.955039
1433,11.329443,104.32008
1434,11.427362,104.803362
1435,11.388653,104.774992
1436,11.369652,105.247604
1437,11.369652,105.247604
1438,11.358862,105.248016
1439,11.34235,105.246407
1440,11.736576,104.982866
1441,11.736576,104.982866
1442,11.736576,104.982866
1443,11.736576,104.982866
1444,11.736576,104.982866
1445,11.736576,104.982866
1446,11.736576,104.982866
1447,11.736576,104.982866
1448,11.736576,104.982866
1449,11.736576,104.982866
1450,11.736576,104.982866
1451,11.736576,104.982866
1452,11.736576,104.982866
1453,11.736576,104.982866
1454,11.736576,104.982866
1455,11.736576,104.982866
1456,11.736576,104.982866
1457,11.736576,104.982866
1458,11.736576,104.982866
1459,11.736576,104.982866
1460,11.736576,104.982866
1461,11.736576,104.982866
1462,11.736576,104.982866
1463,11.736576,104.982866
1464,11.736576,104.982866
1465,11.736576,104.982866
1466,11.736576,104.982866
1467,11.736576,104.982866
1468,11.736576,104.982866
1469,11.736576,104.982866
1470,11.736576,104.982866
1471,11.736576,104.982866
1472,11.736576,104.982866
1473,11.736576,104.982866
1474,11.736576,104.982866
1475,11.736576,104.982866
1476,11.736576,104.982866
1477,10.583256,104.25808
1478,10.532922,104.294794
1479,10.508362,104.337672
1480,10.528026,104.334806
1481,10.526886,104.374691
1482,10.700127,104.579493
1483,10.869375,104.651732
1484,10.523154,104.357947
1485,11.120057,103.955021
1486,11.118142,103.955385
1487,11.120057,103.955021
1488,11.118169,103.955385
1489,11.107899,104.373358
1490,11.107694,104.370374
1491,11.107899,104.373358
1492,11.107694,104.370374
1493,11.229302,105.339459
1494,11.20975,105.354101
1495,11.196291,105.363538
1496,11.196291,105.363538
1497,11.192687,105.367628
1498,11.18457,105.385084
1499,11.1457,105.563075
1500,11.122424,105.699975
1501,11.577822,105.481487
1502,11.560755,105.524306
1503,11.560665,105.524343
1504,11.618055,105.720596
1505,11.529577,105.376294
1506,11.545566,105.39707
1507,11.583786,105.473711
1508,11.614401,105.43119
1509,11.621745,105.43032
1510,11.654979,105.430628
1511,11.700567,105.454079
1512,11.475494,105.326116
1513,11.141586,105.506481
1514,11.145789,105.563936
1515,11.320543,105.644391
1516,11.1419,105.508203
1517,10.272868,104.253208
1518,10.272824,104.253674
1519,13.658624,103.935415
1520,13.662188,103.935852
1521,13.658624,103.935415
1522,13.662188,103.935852
1523,11.145853,105.563249
1524,11.099041,105.761925
1525,11.139677,105.64399
1526,11.119716,105.709272
1527,11.104631,105.746896
1528,11.119716,105.709428
1529,11.122561,105.699188
1530,11.122561,105.699188
1531,11.122561,105.699188
1532,11.122561,105.699188
1533,11.122561,105.699188
1534,11.139658,105.644338
1535,11.04305,104.681356
1536,11.283982,104.803524
1537,11.132979,104.779871
1538,10.94238,104.654686
1539,11.071136,104.686023
1540,10.964045,104.667337
1541,11.910717,105.666244
1542,11.96144,105.510205
1543,11.962187,105.49721
1544,16.550163,104.85724
1545,18.109722,102.75194
1546,18.281111,102.76306
1547,18.275,102.76194
1548,18.273333,102.68056
1549,18.3425,102.66111
1550,18.305278,102.67056
1551,18.282222,102.71667
1552,18.169722,102.625
1553,16.40062,106.49432
1554,16.53398,106.45922
1555,16.58194,106.42978
1556,16.62205,106.56377
1557,16.618,106.53969
1558,16.61879,106.52972
1559,16.62208,106.50536
1560,16.61313,106.48925
1561,16.61847,106.47121
1562,16.62129,106.45338
1563,16.644669,106.39187
1564,16.64672,106.36089
1565,16.66682,106.23937
1566,16.68246,106.25657
1567,16.68321,106.25079
1568,16.6861,106.2462
1569,16.69117,106.23734
1570,16.70824,106.18242
1571,16.71089,106.15159
1572,16.69282,106.13189
1573,16.64105,106.10682
1574,16.66012,106.11582
1575,16.67851,106.12955
1576,16.68833,106.12948
1577,16.69403,105.40538
1578,16.70291,105.35578
1579,16.70563,105.32267
1580,16.70872,105.27425
1581,16.70996,105.2413
1582,16.70319,105.16013
1583,16.69278,105.11647
1584,16.6939,105.06504
1585,16.56011,105.72407
1586,16.5933,105.67223
1587,16.60795,105.6557
1588,16.63573,105.64365
1589,16.69153,105.50784
1590,16.61701,106.10764
1591,16.57512,106.0741
1592,16.58081,105.87909
1593,16.57538,105.86658
1594,16.57474,105.82907
1595,16.57668,105.82262
1596,16.57587,105.79481
1597,16.56911,105.77732
1598,16.56999,105.75948
1599,16.70085,106.14176
1600,16.68404,104.95724
1601,16.71492,104.94007
1602,16.72885,104.92033
1603,16.74018,104.90624
1604,16.80237,104.9069
1605,16.83211,104.90321
1606,16.87767,104.90576
1607,17.18883,105.00359
1608,17.22857,104.99699
1609,17.27536,104.98505
1610,17.28523,104.97471
1611,16.9338,104.91102
1612,16.95654,104.91505
1613,16.9693,104.92046
1614,17.01259,104.97583
1615,17.0468,104.99481
1616,17.3831,104.82314
1617,17.38055,104.81004
1618,17.63634,104.66302
1619,17.82528,104.45129
1620,17.89555,104.38857
1621,18.38602,103.70651
1622,18.14607,104.25281
1623,18.25346,104.17906
1624,18.28623,104.07405
1625,18.32574,103.88897
1626,18.70844,102.92125
1627,18.14672,103.053
1628,18.39819,103.62921
1629,18.41332,103.61062
1630,18.4334,103.562
1631,18.43516,103.4165
1632,18.40414,103.22038
1633,18.38094,103.20277
1634,18.35794,103.19821
1635,18.28688,103.17204
1636,18.04979,102.8624
1637,14.3,105.9268
1638,14.07268,105.89706
1639,14.88095,105.88033
1640,14.09155,105.84133
1641,14.12745,105.87446
1642,14.45207,105.88797
1643,14.19602,105.91011
1644,14.24778,105.91892
1645,14.28914,105.91589
1646,14.32621,105.91519
1647,14.37936,105.90543
1648,14.42645,105.88594
1649,14.46566,105.88353
1650,14.49513,105.88059
1651,14.53217,105.88314
1652,14.67229,105.90908
1653,14.73421,105.9625
1654,14.80886,105.97272
1655,14.82999,105.95517
1656,14.90343,105.93494
1657,14.92427,105.93818
1658,14.96782,105.92097
1659,15.20285,105.74049
1660,15.26899,105.71335
1661,15.18252,105.75294
1662,15.24425,105.72346
1663,15.27749,105.72401
1664,15.29213,105.73265
1665,15.32507,105.76407
1666,15.34032,105.77909
1667,15.39305,105.8065
1668,15.10275,105.77026
1669,15.12284,105.63965
1670,15.13565,105.62922
1671,15.15625,105.57833
1672,15.1438,105.51234
1673,15.13986,105.51825
1674,15.13567,105.049406
1675,15.67682,105.75968
1676,15.68647,105.7815
1677,15.69224,105.77496
1678,15.70013,105.76659
1679,15.42857,105.77789
1680,19.4,103.17631
1681,19.42751,103.15924
1682,19.37949,103.17026
1683,19.37422,103.159332
1684,19.56152,103.29231
1685,19.57803,103.3215
1686,19.46456,103.18089
1687,19.47475,103.16057
1688,19.47589,103.14368
1689,19.5602,103.08742
1690,15.49396,106.27123
1691,15.66759,106.30971
1692,15.69969,106.40422
1693,15.74051,106.37729
1694,15.8356,106.38867
1695,15.85061,106.38596
1696,15.71332,106.39735
1697,15.65252,105.83937
1698,15.71352,106.36418
1699,15.71072,106.33377
1700,15.70775,106.32389
1701,15.7579,106.19687
1702,15.69546,106.04041
1703,15.69668,106.02245
1704,15.69893,106.00878
1705,15.69525,105.96556
1706,15.69554,105.96563
1707,15.67509,105.93421
1708,15.66298,105.89281
1709,15.74991,105.73898
1710,15.76468,105.72858
1711,15.80554,105.69422
1712,15.86153,105.60257
1713,15.89989,105.55766
1714,15.98514,105.84678
1715,16.34836,105.07578
1716,16.48265,105.04411
1717,16.04049,105.42559
1718,16.0717,105.40222
1719,16.11477,105.36746
1720,16.1276,105.35808
1721,16.22469,105.24325
1722,16.27298,105.14434
1723,16.32435,105.12059
1724,16.56682,105.02859
1725,16.58202,105.03685
1726,17.65534,104.64887
1727,17.6781,104.61144
1728,17.87061,104.41651
1729,16.6366,105.01566
1730,16.71539,104.93987
1731,16.74375,104.90356
1732,16.80294,104.90704
1733,18.25366,104.17893
1734,18.41356,103.6109
1735,17.24561,104.99006
1736,17.28461,107.97562
1737,18.45334,103.46152
1738,17.01218,104.9748
1739,17.04432,104.99509
1740,16.53386,106.45982
1741,16.58302,106.42869
1742,16.62199,106.56387
1743,16.61782,106.53319
1744,16.6467,106.39188
1745,16.64708,106.35786
1746,16.69151,106.23656
1747,16.70787,106.183333
1748,16.70719,106.14806
1749,16.69298,106.13209
1750,16.68822,106.12949
1751,16.66772,106.11771
1752,16.617,106.10776
1753,16.67147,106.12485
1754,16.70264,106.14263
1755,16.69318,105.45264
1756,16.694,105.40116
1757,16.70059,105.35978
1758,16.70846,105.2746
1759,16.70318,105.16013
1760,16.7018,105.12998
1761,16.69376,105.065
1762,16.56128,105.72936
1763,16.58731,105.67595
1764,16.61575,105.65047
1765,16.64082,105.63506
1767,16.54374,105.95933
1768,16.58059,105.87759
1769,16.57483,105.83681
1770,16.57612,105.82713
1771,16.56785,105.79725
1772,16.56914,105.77831
1773,16.57001,105.75961
1774,16.56273,105.74446
1775,16.5669,105.02866
1776,16.53281,105.2592
1777,16.51363,105.02849
1778,16.48325,105.04341
1779,16.32738,105.11614
1780,16.2945,105.13706
1781,16.2732,105.14389
1782,16.6366,105.01572
1783,16.62437,105.02167
1784,16.58204,105.03673
1785,16.4515,105.06077
1786,16.3885,105.10544
1787,16.3702,105.10462
1788,16.33525,105.10999
1789,17.6537,104.65096
1790,17.86561,104.42091
1791,17.89553,104.38853
1792,16.71569,104.94038
1793,16.74062,104.90598
1794,16.80212,104.90703
1795,16.83313,104.90378
1796,17.18384,105.00351
1797,17.22779,104.99767
1798,17.24615,104.98997
1799,17.28484,104.97519
1800,16.87927,104.9062
1801,16.9337,104.9111
1802,16.991116,104.93663
1803,17.01187,104.97392
1804,17.03052,104.99615
1805,17.04534,104.99497
